date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2007/1/4,8.3,8.86,8.18,8.42,2.940705833,58128,0,1
2007/1/4,8.3,8.86,8.18,8.42,2.940705833,58128,0,1
2007/1/5,8.36,9.26,8.22,9.07,3.167719941,49871,0,1
2007/1/5,8.36,9.26,8.22,9.07,3.167719941,49871,0,1
2007/1/8,9.18,9.85,9.08,9.41,3.286465782,31794,0,1
2007/1/8,9.18,9.85,9.08,9.41,3.286465782,31794,0,1
2007/1/9,9.4,9.76,9.18,9.55,3.335361128,23216,0,1
2007/1/9,9.4,9.76,9.18,9.55,3.335361128,23216,0,1
2007/1/10,9.5,9.86,9.3,9.68,3.38076395,25255,0,1
2007/1/10,9.5,9.86,9.3,9.68,3.38076395,25255,0,1
2007/1/11,9.68,9.71,9.21,9.22,3.220107812,20174,0,1
2007/1/11,9.68,9.71,9.21,9.22,3.220107812,20174,0,1
2007/1/12,9.08,9.21,8.51,8.67,3.028018951,31849,0,1
2007/1/12,9.08,9.21,8.51,8.67,3.028018951,31849,0,1
2007/1/15,8.71,9.54,8.71,9.54,3.331868604,36019,0,1
2007/1/15,8.71,9.54,8.71,9.54,3.331868604,36019,0,1
2007/1/16,9.72,9.85,9.29,9.62,3.359808802,24880,0,1
2007/1/17,9.63,9.96,9.35,9.52,3.324883554,32284,0,1
2007/1/18,9.48,9.84,9.38,9.79,3.419181722,30003,0,1
2007/1/19,9.82,10.77,9.81,10.77,3.761449147,38996,0,1
2007/1/22,10.93,11.3,10.67,11.01,3.845269741,38130,0,1
2007/1/23,11,11.01,10.31,10.6,3.702076226,26307,0,1
2007/1/24,10.55,10.85,10.27,10.67,3.726523899,22444,0,1
2007/1/25,10.69,10.69,10,10.03,3.503002316,18055,0,1
2007/1/26,9.8,10.35,9.17,10.3,3.597300484,25193,0,1
2007/1/29,10.3,10.3,10.3,10.3,3.597300484,0,0,1
2007/1/30,10.65,10.68,9.92,10,3.492524742,29215,0,1
2007/1/31,10,10.37,9.42,9.47,3.30742093,24552,0,1
2007/2/1,9.22,9.68,9.21,9.41,3.286465782,15138,0,1
2007/2/2,9.41,9.5,8.78,9.01,3.146764792,20128,0,1
2007/2/5,8.85,9.49,8.65,9.01,3.146764792,28394,0,1
2007/2/6,9.04,9.45,9,9.41,3.286465782,26310,0,1
2007/2/7,9.5,9.69,9.23,9.4,3.282973257,23730,0,1
2007/2/8,9.4,9.98,9.22,9.95,3.475062118,27088,0,1
2007/2/9,10.2,10.2,9.75,9.81,3.426166772,24234,0,1
2007/2/12,9.96,10.2,9.69,10.05,3.509987365,16347,0,1
2007/2/13,10.05,10.31,10.05,10.14,3.541420088,14005,0,1
2007/2/14,10.18,10.75,10.08,10.6,3.702076226,25812,0,1
2007/2/15,10.62,11.66,10.62,11.66,4.072283849,38632,0,1
2007/2/16,11.76,12.83,11.76,12.83,4.480909244,38390,0,1
2007/2/19,12.83,12.83,12.83,12.83,4.480909244,0,0,1
2007/2/20,12.83,12.83,12.83,12.83,4.480909244,0,0,1
2007/2/21,12.83,12.83,12.83,12.83,4.480909244,0,0,1
2007/2/22,12.83,12.83,12.83,12.83,4.480909244,0,0,1
2007/2/23,12.83,12.83,12.83,12.83,4.480909244,0,0,1
2007/2/26,12.88,13.42,12.3,13.32,4.652042956,37845,0,1
2007/2/27,13.28,13.29,11.99,11.99,4.187537165,31472,0,1
2007/2/28,11.68,13.14,11.6,13.12,4.582192461,31801,0,1
2007/3/1,13.05,14.16,12.61,13.32,4.652042956,38046,0,1
2007/3/2,13.02,13.7,12.85,13.53,4.725385976,19413,0,1
2007/3/5,13.2,14.26,13,13.99,4.886042114,24312,0,1
2007/3/6,13.9,13.96,13.38,13.49,4.711415877,10127,0,1
2007/3/7,13.52,13.69,13.05,13.59,4.746341124,19637,0,1
2007/3/8,13.5,13.56,13.18,13.37,4.66950558,17858,0,1
